key,en,fr,es,de,ru,nl,ja,zh,pt-BR
bernstein_datacache_C_caption_10,"That’s all my data! My recordings, the coordinates of the queen’s chamber!","C'est toutes mes données! Mes enregistrements, les coordonnées de la chambre de la reine!","¡Esos son todos mis datos! ¡Mis grabaciones, las coordenadas de la cámara de la reina!","Das ist alles meine Daten! Meine Aufnahmen, die Koordinaten der Königin Kammer!","Это все мои данные! Мои записи, координаты камеры королевы!","Dat is al mijn gegevens! Mijn opnames, de coördinaten van de koningin kamer!",俺のデータだ！ 女王の記録データと座標なんだぞ！,那是我所有的数据！我的录音，女王密室的坐标！,"Isso é todos os meus dados! As minhas gravações, as coordenadas da câmara da rainha!"
bernstein_datacache_C_caption_11,Stop! Where are you taking those?! Come back!,Arrête! Où est-ce que tu amènes ça?! Reviens!,¡Detente! ¿A dónde los llevas? ¡Vuelve!,Halt! Wo nehmen Sie die ?! Komm zurück!,Стоп! Где вы принимаете те ?! Вернись!,Hou op! Waar breng je die ?! Terugkomen!,やめろ！ どこへ持っていくつもりだ？！ 戻れ！,住手！你要把它们带到哪里？！回来！,Pare! Onde você está tomando aqueles ?! Volte!
log_bernstein,"Hello? 
Is thing on? 
Oh, I guess it must be, the light being on and all. 
Well. This will be my first official log after my employment here at Planck Interdimensional Energy solutions. I'm here to report on the Department of Exobiology and its current construction—or should I say, reconstruction. There has been a little bit of a problem as of late, just a minor containment breach. But its nothing to worry about. Everything is under control.
*glass shatters* 
Hey who put this cup here?!
Uh. As I was saying, completely under control.
","Hého?
Est-ce que ce truc marche?
Je pense que ça doit l'être vu que la lumière est allumée.
Bon. Ceci sera mon premier journal de bord après avoir été recruté ici, chez Planck Interdimensional Energy Solutions.
Je suis là pour faire un rapport sur le département d'Exobiologie et l'état de sa construction--ou devrais-je dire, de sa reconstruction.
Il y a eu un petit problème depuis peu, juste une p'tite faille d'une zone de restriction.
Mais il n'y a pas de quoi s'inquiéter. Tout est sous contrôle.
*vitre explose*
Hé! Qui a mis cette tasse ici?!
Euh, comme je disais, tout est sous contrôle.","¿Hola?
¿Está encendida esta cosa?
Oh, supongo que si, tiene la luz encendida y todo.
Bien. Este será mi primer registro oficial luego de ser empleado aquí en Soluciones de Energía Internacionales Planck. Estoy aquí para informar sobre el Departamento de Exobiología y su construcción actual, o reconstrucción, debería decir. Últimamente ha habido un pequeño problema, solo una mínima brecha de contención. Pero no hay nada de qué preocuparse. Todo está bajo control.
*vidrio se rompe*
¿¡Quién puso esta taza aquí!?
Uh. Como decía, completamente bajo control.","Hallo?
Ist, was auf?
Oh, ich denke, es muss sein, wobei das Licht auf und alle.
Gut. Das wird mein erstes offizielles Protokoll nach meiner Anstellung hier bei Planck Interdimensional Energielösungen sein. Ich bin hier auf der Abteilung für Exobiology und seine aktuellen Bericht zu erstatten Bau-oder soll ich sagen, Wiederaufbau. Es hat wie der spät, nur eine geringe Rückhaltung Verletzung ein bisschen ein Problem gewesen. Aber es ist nichts zu befürchten. Alles unter Kontrolle.
* Glas zerspringt *
Hey, die diese Tasse hier setzen ?!
Äh. Wie ich sagte, völlig unter Kontrolle.
","Привет?
Является ли дело дальше?
О, я предполагаю, что это должно быть, свет на существо и все.
Хорошо. Это будет моим первым официальным журналом после моей работы здесь, в решениях Планка Межпространственной энергии. Я здесь, чтобы сообщить о Департаменте экзобиологии и его текущего строительства, или я должен сказать, реконструкции. Там было немного проблемы, как в последнее время, лишь незначительные нарушения условий содержания. Но его ничто не беспокоиться. Все под контролем.
* стекло разбивается *
Эй, кто положил эту чашку здесь ?!
Э-э. Как я уже говорил, полностью под контролем.
","Hallo?
Is iets aan de hand?
Oh, ik denk dat het moet zijn, waarbij het licht op en alles.
Goed. Dat zal mijn eerste officiële log na mijn werk hier bij Planck Interdimensional Energy oplossingen. Ik ben hier om te rapporteren over het ministerie van exobiologie en haar huidige bouw-of moet ik zeggen, de wederopbouw. Er is een beetje een probleem als te laat, slechts een klein containment overtreding geweest. Maar het is niets om zorgen over te maken. Alles is onder controle.
* Glassplinters *
Hey, die deze beker hier zetten ?!
Uh. Zoals ik al zei, volledig onder controle.
","もしもし？
録れているのか？
あぁ、ライトが点いているから大丈夫そうだな。
それでは、これがプランク次元間エネルギーソリューションに入社してから最初の記録となる。私は現在、建設中……というよりも再建中のエグゾバイオロジー部門について報告するためにここへ来た。最近はちょっとした問題が発生してわずかに想定外の事態も発生したが、心配することはない。すべてコントロール下にある。
*なにかが割れる音* 
こんなところにコップを置いたのは誰だ？！
えぇと、つまり既に言った通りすべてコントロール下にある。","哈喽？开着吗？
哦，应该开着，因为灯一直亮着。
好吧。这将是我在普朗克多维能量解决方案公司工作后的第一份正式日志。
我想要报告系外生物和它目前的结构——或者我应该说，重建。
最近出了一点问题，只是轻微的控制破坏。
没什么好担心的。一切都在控制之中。
*玻璃破碎*
嘿！谁把这个杯子放在这里的？！呃…正如我所说，一切都在控制之中。","Olá?
É coisa ligada?
Oh, eu acho que deve ser, o ser de luz em todos.
Bem. Este será o meu primeiro registro oficial depois do meu emprego aqui em soluções Planck Interdimensional Energia. Eu estou aqui para informar sobre o Departamento de Exobiology e sua atual construção, ou devo dizer, a reconstrução. Houve um pouco de um problema como de tarde, apenas uma violação menor de contenção. Mas seu nada para se preocupar. Tudo está sob controle.
* * vidro estilhaça
Hey quem colocou este cálice aqui ?!
Uh. Como eu estava dizendo, completamente sob controle.
"
BernsteinLog_caption_00,Hello? Is this thing on?,Hého? Est-ce que ce truc marche?,¿Hola? ¿Está encendida esta cosa?,Hallo? Ist das Ding an?,Привет? Является ли эта вещь на?,Hallo? Is dit ding aan?,もしもし？録れているのか？,哈喽？开着吗？,Olá? Isto está ligado?
BernsteinLog_caption_01,"Oh, I guess it must be, the light being on and all.",Je pense que ça doit l'être vu que la lumière est allumée.,"Oh, supongo que si, tiene la luz encendida y todo.","Oh, ich denke, es muss sein, wobei das Licht auf und alle.","О, я предполагаю, что это должно быть, свет на существо и все.","Oh, ik denk dat het moet zijn, waarbij het licht op en alles.",あぁ、ライトが点いているから大丈夫そうだな。,哦，应该开着，因为灯一直亮着。,"Oh, eu acho que deve ser, o ser de luz em todos."
BernsteinLog_caption_02,Well. This will be my first official log after my employment here at Planck Interdimensional Energy Solutions.,"Bon. Ceci sera mon premier journal de bord après avoir été recruté ici, chez Planck Interdimensional Energy Solutions.",Bien. Este será mi primer registro oficial luego de ser empleado aquí en Soluciones de Energía Internacionales Planck.,Gut. Das wird mein erstes offizielles Protokoll nach meiner Anstellung hier bei Planck Interdimensional Energy Solutions sein.,"Хорошо. Это будет моим первым официальным журналом после моей работы здесь, в планковской Межпространственной Energy Solutions.",Goed. Dat zal mijn eerste officiële log na mijn werk hier bij Planck Interdimensional Energy Solutions zijn.,それでは、これがプランク次元間エネルギーソリューションに雇われてから最初の記録となる。,好吧。这将是我在普朗克多维能量解决方案公司工作后的第一份正式日志。,Bem. Este será o meu primeiro registro oficial depois do meu emprego aqui no Planck interdimensionais Energy Solutions.
BernsteinLog_caption_03,"I'm here to report on the department of Exobiology and its current construction—or should I say, reconstruction.","Je suis là pour faire un rapport sur le département d'Exobiologie et l'état de sa construction--ou devrais-je dire, de sa reconstruction.","Estoy aquí para informar sobre el Departamento de Exobiología y su construcción actual, o reconstrucción, debería decir.","Ich bin hier auf der Abteilung Exobiology zu berichten und seine aktuellen Bau-oder soll ich, Rekonstruktion sagen.","Я здесь, чтобы сообщить об отделе экзобиологии и его текущее строительство или я должен сказать, реконструкции.","Ik ben hier om te rapporteren over de afdeling exobiologie en haar huidige bouw-of moet ik zeggen, de wederopbouw.",私は現在、建設中……というよりも再建中のエグゾバイオロジー部門について報告するためにここへ来た。,我想要报告系外生物和它目前的结构——或者我应该说，重建。,"Eu estou aqui para informar sobre o departamento de Exobiology e sua construção, ou corrente devo dizer, reconstrução."
BernsteinLog_caption_04,"here has been a little bit of a problem as of late, just a minor containment breach.","Il y a eu un petit problème depuis peu, juste une p'tite faille d'une zone de restriction.","Últimamente ha habido un pequeño problema, solo una mínima brecha de contención.","hier hat sich in der letzten Zeit, nur eine geringe Rückhaltung Verletzung ein bisschen ein Problem gewesen.","здесь было немного проблема, как в последнее время, лишь незначительные нарушения условий содержания.","hier is een beetje een probleem geweest als te laat, slechts een klein containment overtreding.",最近はちょっとした問題が発生してわずかに想定外の事態も発生したが、,最近出了一点问题，只是轻微的控制破坏。,"aqui tem sido um pouco de um problema como de tarde, apenas uma violação menor de contenção."
BernsteinLog_caption_05,But its nothing to worry about. Everything is under control.,Mais il n'y a pas de quoi s'inquiéter. Tout est sous contrôle.,Pero no hay nada de qué preocuparse. Todo está bajo control.,Aber es ist nichts zu befürchten. Alles unter Kontrolle.,Но его ничто не беспокоиться. Все под контролем.,Maar het is niets om zorgen over te maken. Alles is onder controle.,心配することはない。すべてコントロール下にある。,没什么好担心的。一切都在控制之中。,Mas seu nada para se preocupar. Tudo está sob controle.
BernsteinLog_caption_06,*glass shatters*,*vitre explose*,*vidrio se rompe*,* Glas zerspringt *,* стекло разбивается *,* Glassplinters *,*なにかが割れる音* ,*玻璃破碎*,* * vidro estilhaça
BernsteinLog_caption_07,"Hey! Who put this cup here?!            Uh. As I was saying, completely under control.","Hé! Qui a mis cette tasse ici?!                Euh, comme je disais, tout est sous contrôle.","¿¡Quién puso esta taza aquí!? Uh. Como decía, completamente bajo control.","Hallo! Wer hat diesen Kelch hier ?! Äh. Wie ich sagte, völlig unter Kontrolle.","Привет! Кто положил эту чашку здесь ?! Э-э. Как я уже говорил, полностью под контролем.","Hallo! Wie heeft deze beker hier ?! Uh. Zoals ik al zei, volledig onder controle.",こんなところにコップを置いたのは誰だ？！ えぇと、つまり既に言った通りすべてコントロール下にある。,嘿！谁把这个杯子放在这里的？！呃…正如我所说，一切都在控制之中。,"Ei! Quem colocou esse copo aqui ?! Uh. Como eu estava dizendo, completamente sob controle."
brian_datacache_lab_caption_00,"First day in the new lab. Just got moved again, probably to throw off the feds trying to locate me.","Premier jour dans le nouveau labo. J'ai encore été déplacé, probablement pour se débarrasser des fédéraux qui essaient de me trouver.","Primer día en el nuevo laboratorio. Me movieron de nuevo, probablemente para deshacerse de los federales que intentaban localizarme.","Erster Tag im neuen Labor. Wir kommen gerade wieder bewegt, wahrscheinlich die FBI-Agenten abzuschütteln versucht, mich zu suchen.","Первый день в новой лаборатории. Просто был перемещен снова, вероятно, скинуть федералы пытаются найти меня.","Eerste dag in het nieuwe lab. Ben net weer verhuisd, waarschijnlijk af te werpen de FBI probeert me te vinden.",新しいラボでの初日。また移転させられた。恐らく、私を捜している連邦の目を欺くためだろう。,新实验室的第一天。又被转移了，可能是为了摆脱联邦调查局的追踪。,"Primeiro dia no novo laboratório. Apenas got transferida novamente, provavelmente para jogar fora os federais tentando me localizar."
brian_datacache_lab_caption_01,"Inconvenient of course, but not as inconvenient as prison.","Désagérable bien sûr, mais pas autant que la prison.","Inconveniente, por supuesto, pero no tanto como la cárcel.","Inconvenient natürlich, aber nicht so unbequem wie Gefängnis.","Неудобно, конечно, но не так неудобно, так как тюрьмы.","Inconvenient natuurlijk, maar niet zo lastig als gevangenis.",不便ではあるが、刑務所よりはマシだ。,当然不方便，但也不至于像监狱。,"Inconveniente é claro, mas não tão inconveniente como prisão."
brian_datacache_lab_caption_02,"Good to see Planck is still trying to uphold the deal. For now, at least.","C'est bon de voir que Planck maintiennent notre accord. En tout cas, pour le moment.",Es bueno ver que Planck todavía está tratando de mantener nuestro trato. Por ahora al menos.,"Gut zu sehen Planck noch versucht, das Geschäft aufrecht zu erhalten. Vorerst zumindest.","Рад видеть Planck все еще пытается поддержать сделку. В настоящее время, по крайней мере.","Goed om te zien Planck is nog steeds bezig om de deal te handhaven. Voor nu, op zijn minst.",プランクの連中が取引を維持しようとしているのが幸いか。少なくとも今のところは。,很高兴看到普朗克仍在努力维护协议。至少目前是这样。,"Bom ver Planck ainda está tentando manter o negócio. Por enquanto, pelo menos."
brian_datacache_lab_caption_03,"Sector 12 now. Not my finest residence, but I am right next door to an old associate of mine, Prahl. So that's nice.","Secteur 12. Pas l'endroit le plus agréable. Mais c'est juste à côté d'un de mes anciens collaborateur, Prahl. Donc ça me va.","Sector 12 ahora. No es mi mejor residencia, pero estoy justo al lado de un antiguo socio mío, Prahl. Al menos eso es bueno.","Sector 12 jetzt. Nicht meine schönsten Residenz, aber ich bin direkt neben einem alten Mitarbeiter von mir, Prahl. Also das ist schön.","Сектор 12 в настоящее время. Не мой лучший жительства, но я прямо рядом со старым соратником шахты, Пралью. Так что это хорошо.","Sector 12 nu. Niet mijn mooiste woonplaatsen, maar ik ben er naast de deur naar een oud medewerker van mij, Prahl. Dus dat is leuk.",今はセクター12にいる。快適な暮らしとは言えないが、旧い協力者であるプラールの隣なのはいいことだ。,现在是12区。不是我最好的住处，但我就在我的老同事普拉赫尔的隔壁。这很不错。,"Sector 12 agora. Não é o meu melhor residência, mas estou bem ao lado de um velho colega minha, Prahl. Então, isso é bom."
brian_datacache_lab_caption_04,"I’m trying to prioritize projects, but it’s clear I’m gonna have to spend way more time developing the Spacetime Manipulator if I want it functional by fall.","J'essaie de mettre d'autres projets en avant, mais il est clair que je devrais passer vachement plus de temps sur le Manipulateur d'espace temps si je veux qu'il soit prêt dès l'automne.","Estoy tratando de priorizar proyectos, pero es claro que tendré que dedicar mucho más tiempo a desarrollar el manipulador de espacio-tiempo si quiero que funcione para el otoño.","Ich versuche, Projekte zu priorisieren, aber es ist klar, ich werde viel mehr Zeit zu verbringen, habe den Zeit-raum Manipulators zu entwickeln, wenn ich es funktional will bis zum Herbst.","Я пытаюсь определить приоритеты проектов, но это ясно мне придется тратить намного больше времени на разработку пространственно-временного Манипулятор, если я хочу его функциональным падением.","Ik probeer te prioriteren projecten, maar het is duidelijk dat ik ga moeten veel meer tijd besteden aan het ontwikkelen van de Spacetime Manipulator als ik wil het functioneel door de val.",プロジェクトの優先順位を整理しているが、時空マニピュレータを秋までに稼働させるには、更に多くの時間を研究に費やさなければならないことは明らかだ。,我正在努力安排项目的优先顺序，但是很明显，如果我想让时空操纵器在秋季投入使用，我必须花更多的时间来开发它。,"Eu estou tentando priorizar projetos, mas é claro que eu vou ter que gastar muito mais tempo desenvolvendo o Spacetime Manipulador se eu quero-lo funcional por queda."
brian_datacache_qj_caption_00,Quantum Juice!,Le Jus Quantique!,¡Jugo Cuántico!,Quantum Juice!,Квантовый сок!,Quantum Juice!,クォンタムジュース！,量子汁！,Suco Quantum!
brian_datacache_qj_caption_01,What is it? I don’t know.,Qu'est-ce que c'est? aucune idée.,¿Qué es? No lo sé.,Was ist es? Ich weiß es nicht.,Что это? Я не знаю.,Wat is het? Ik weet het niet.,その正体は？ 不明だ。,是什么？我不知道。,O que é isso? Eu não sei.
brian_datacache_qj_caption_02,What does Planck use it for? Classified.,Qu'est-ce qu'en fait Planck? Top secret.,¿Para qué lo usa Planck? Clasificado.,Was bedeutet Planck es verwenden? Klassifiziert.,Что Planck использовать? Classified.,Wat betekent Planck gebruiken voor? Geclassificeerd.,プランクの連中はそれをどう使ってる？ 機密だ。,普朗克用它来做什么？机密。,O que Planck usá-lo? Classificado.
brian_datacache_qj_caption_03,Why does it seem to leak out of all the walls in the reactor?,Pourquoi est-ce qu'on dirait que ça fuis des murs du réacteur?,¿Por qué parece escaparse de todas las paredes del reactor?,Warum scheint es in dem Reaktor alle die Wände austreten?,"Почему это, кажется, утечка из всех стенок в реакторе?",Waarom lijkt het uit te lekken van de muren in de reactor?,なぜリアクターのそこかしこから漏れている？,为什么它似乎从反应堆壁泄漏出来？,Por que parece a vazar de todas as paredes do reator?
brian_datacache_qj_caption_04,"Well, probably cheap plumbing work.","Eh bien, probablement une plomberie bâclée.","Bueno, probablemente sea culpa de los plomeros.","Nun, wahrscheinlich billig Klempnerarbeiten.","Ну, наверное, дешево сантехнические работы.","Nou, waarschijnlijk goedkoop loodgieterswerk.",それは、恐らく手抜き工事のためだろう。,嗯，可能是管道搭得不好。,"Bem, provavelmente barato trabalho de canalização."
brian_datacache_qj_caption_05,The important thing is that it seems to be a viable power source for some of the more... exotic functions of my Spacetime Manipulator.,Le truc le plus important c'est qu'on dirait que c'est une source viable d'énergie pour les fonctions les plus ... exotiques de mon Manipulateur d'espace temps.,Lo importante es que parece ser una fuente de energía viable para algunas de las funciones más... exóticas de mi manipulador de espacio-tiempo.,"Das Wichtigste ist, dass es eine praktikable Energiequelle für einige der mehr ... exotischen Funktionen meines Zeit-raum Manipulator zu sein scheint.","Важно то, что, как представляется, является жизнеспособным источником энергии для некоторых из более ... экзотических функций моего Spacetime манипулятором.",Het belangrijkste is dat het lijkt een levensvatbare voedingsbron voor een aantal van de meer ... exotische functies van mijn ruimtetijd Manipulator zijn.,重要なのは……時空マニピュレータの、より変わった機能を実行できる電源になりうることだ。,重要的是，它似乎是不错的能源…对我的时空操纵器的奇异功能来说。,O importante é que ele parece ser uma fonte de energia viável para algumas das funções mais ... exóticas da minha Spacetime manipulador.
brian_datacache_qj_caption_06,"With enough juice, I could warp local spacetime in any way imaginable...","Avec assez de jus quantique, je pourrais altérer l'espace temps local de n'importe quelle façon imaginable...","Con suficiente jugo, podría deformar el espacio-tiempo local de cualquier forma imaginable...","Mit genügend Saft, konnte ich lokale Raum-Zeit in irgendeiner Weise vorstellbar verziehen ...","При наличии достаточного количества сока, я мог деформироваться местного пространства-времени в любом лады ...","Met genoeg sap, kon ik lokale ruimtetijd krom in elke denkbare manier ...",十分なジュースがあれば、ちょっとした距離なら思うままにテレポートできるようになる……。,有了足够的量子汁，我可以以任何可以想到的方式扭曲时空…,"Com bastante suco, eu poderia deformar o espaço-tempo local em qualquer forma imaginável ..."
brian_death_caption_00,Okay... recording? Recording.,Okey... ça tourne? Ça tourne.,Bueno... ¿grabando? Grabando.,Okay ... Aufnahme? Aufzeichnung.,Хорошо ... запись? Запись.,Oke ... het opnemen? Opnemen.,よし……撮れてるか？ 撮れているな。,好了…正在录音？录音。,Ok ... a gravação? Gravação.
brian_death_caption_01,"Spacetime Manipulator devlog 233. The date is October 18th, 2015.",Journal de bord du Manipulateur d'Espace Temps 233. Nous sommes le 18 Octobre 2015,Devlog 233: manipulador de espacio-tiempo. La fecha es el 18 de octubre de 2015.,Raum-Zeit-Manipulator Devlog 233. Das Datum ist 18. Oktober 2015.,Манипулятор Spacetime devlog 233. дата 18 октября 2015.,Spacetime Manipulator devlog 233. De datum is 18 oktober 2015.,時空マニピュレータ開発記録 #233。日付は2015年10月18日。,时空操纵器开发日志233。日期是2015年10月18日。,"Spacetime Manipulador devlog 233. A data é 18 de outubro, 2015."
brian_death_caption_02,"They moved evac to next week, so I’ve had to accelerate testing.","Ils ont déplacé la date de l'évacuation à la semaine prochaine, j'ai donc du accélérer mes tests.","Trasladaron la evacuación a la semana que viene, así que tuve que acelerar las pruebas.","Sie bewegten sich EVAC nächste Woche, so dass ich Tests habe zu beschleunigen.","Они двигались Evac на следующей неделе, так что я должен был ускорить тестирование.","Ze verhuisden EVAC volgende week, dus ik heb gehad om te testen te versnellen.",避難予定が来週になったため、テストを急がなければならない。,他们把撤离推迟到了下周，所以我必须加快测试。,"Eles se mudaram de evacuação para a próxima semana, então eu tive que acelerar os testes."
brian_death_caption_03,"I’ve been refining the exotic fields in the bulb though, and the simulations say it’s stable enough for human trials.","J'ai affiné les champs exotiques du bulbe, et d'après mes simulations c'est assez stable pour des essais sur humains.","Sin embargo, he estado refinando los campos exóticos en el bulbo y las simulaciones dicen que es lo suficientemente estable para pruebas en humanos.","Ich habe die Verfeinerung der exotischen Felder in der Birne aber, und die Simulationen sagen, es ist stabil genug für Studien am Menschen.","Я совершенствовал экзотические поля в баллоне, хотя, и симуляции говорят, что достаточно стабильна для человеческих испытаний.","Ik heb het verfijnen van de exotische velden in de bol al, en de simulaties zeggen dat het stabiel genoeg is voor menselijke proeven.",バルブ内のエキゾチックフィールドを改修してきたが、シミュレーションによれば人間がテストしても問題ないくらい安定しているとのこと。,不过，我一直在提炼灯泡里的奇异磁场，模拟结果显示它对人体试验足够稳定。,"Eu fui refinando os campos exóticos no bulbo, porém, e as simulações dizer que é estável o suficiente para testes em humanos."
brian_death_caption_04,"Should be perfectly safe, so long as I don’t teleport into a wall or something.","Ça devrait être complètement sûr, à partir du moment où je ne me téléporte pas dans un mur ou quelque chose comme ça.","Debería ser perfectamente seguro, siempre y cuando no me teletransporte a una pared o algo así.","Sollte seine vollkommen sicher, solange ich teleportieren nicht in eine Wand oder etwas.","Должно быть совершенно безопасно, до тех пор, пока я не телепортироваться в стену или что-то.","Moet volkomen veilig zijn, zolang ik niet teleporteren in een muur of iets dergelijks.",壁の中にテレポートでもしない限り、完璧な安全性だ。,应该是非常安全的，只要我不传送到一堵墙什么的。,"Deve ser perfeitamente seguro, desde que eu não teletransportar em uma parede ou algo assim."
brian_death_caption_05,"Still reliant on the reactor’s Quantum Juice, so the more of that I can get my hands on, the better.","Ça dépend encore du Jus Quantique du réacteur, donc le plus je peux en avoir, le mieux.","Aún depende del Jugo Cuántico del reactor, por lo que cuanto más pueda tener en mis manos, mejor.","Noch angewiesen auf dem Quantum-Saft des Reaktors, so dass das mehr von, dass ich auf meine Hände bekommen kann, desto besser.","Тем не менее зависит от квантового сока реактора, так что больше, что я могу получить мои руки, тем лучше.","Nog steeds afhankelijk van de reactor Quantum Juice, dus hoe meer van dat ik mijn handen kan krijgen, hoe beter.",まだクォンタムジュースに依存しているから、リアクターで入手できるに越したことはない。,仍然依赖于反应堆的量子汁，所以我能得到的越多越好。,"Ainda dependente de suco de Quantum do reator, portanto, quanto mais de que eu posso chegar em minhas mãos, o melhor."
brian_death_caption_06,"All right, here goes nothing.","Bon, on y va.","Está bien, aquí vamos.","In Ordnung, hier geht nichts.","Хорошо, здесь ничего не выходит.","Oké, hier gaat niets.",さて、今回はどうかな。,好吧，什么也没发生。,"Tudo bem, aqui vai nada."
brian_death_caption_07,AAAHHH! OH MY GOD! AAAAAAAHHH!,AAAHHH! OH MON DIEU! AAAAAAAHHH!,¡AAAAAA! ¡OH DIOS MÍO! ¡AAAAAAAAA!,AAAHHH! OH MEIN GOTT! AAAAAAAHHH!,AAAHHH! О БОЖЕ! AAAAAAAHHH!,AAAHHH! O MIJN GOD! AAAAAAAHHH!,ああぁあぁぁ！ 何だこれは！ あがああああああ！,啊哈！我的天啊！啊啊啊啊啊！,AAAHHH! OH MEU DEUS! AAAAAAAHHH!
brian_fuck_caption_00,Fuck!,Merde!,¡Mierda!,Scheiße!,Блядь!,Neuken!,くそ！,该死！,Porra!
courtesyBot_00_brian_caption_00,"Hey, is someone in there? Is that you, Brian?","Hey, Il y a quelqu'un là dedans? Est-ce que c'est toi Brian?","Oye, ¿hay alguien ahí? ¿Eres tú, Brian?","Hey, ist jemand da drin? Ist, dass Sie, Brian?","Эй, кто там? Это ты, Брайан?","Hey, is iemand daar? Is dat je, Brian?",おーい、誰かいますか？ ブライアンさん？,嘿，有人在里面吗？是你吗，布莱恩？,"Hey, é alguém lá dentro? É você, Brian?"
courtesyBot_01_speech_caption_00,"Oh, uh, you’re not Brian. Did they give me the wrong room?","Oh, Euh, T'es pas Brian. Ils m'ont encore donné un mauvais numéro de chambre.","Oh, ah, no eres Brian. ¿Me dieron la habitación equivocada?","Oh, äh, du bist nicht Brian. Haben sie geben mir das falsche Zimmer?","О, ну, ты не Брайан. Они дали мне неправильный номер?","Oh, uh, je bent niet Brian. Hebben ze geven me de verkeerde kamer?",おっと、違う人だった。部屋を間違えたかな。,哦，呃，你不是布莱恩。他们给我找错房间了吗？,"Oh, uh, você não está Brian. Será que eles me dar o quarto errado?"
courtesyBot_01_speech_caption_01,"Ugh, sorry, we had a no show at evacuation, and it’s my job to locate employees.","Ugh, Désolé, on était censé se pointer pendant l'évacuation, et c'était mon taf de localiser les employées.","Uf, lo siento, no nos presentamos en la evacuación y es mi trabajo localizar empleados.","Ugh, sorry, wir hatten eine No-Show bei der Evakuierung, und es ist meine Aufgabe, Mitarbeiter zu finden.","Тьфу, извините, у нас было не шоу в эвакуации, и это моя работа, чтобы найти сотрудников.","Ugh, sorry, hadden we een no-show op evacuatie, en het is mijn taak om werknemers te vinden.",あぁ、失礼。避難して来なかった人がいて、従業員を探すのが僕の仕事なんだ。,呃，不好意思，撤离时没人到场，我的工作是找到员工。,"Ugh, desculpe, tivemos uma não comparência na evacuação, e é o meu trabalho para localizar funcionários."
courtesyBot_01_speech_caption_02,"They said this guy was last logged as being in this lab,","Ils m'ont dit que la dernière fois que ce gars avait été en ligne pour la dernière fois dans ce labo,","Dijeron que este tipo se registró por última vez en este laboratorio,","Sie sagten, dass dieser Kerl zuletzt als in diesem Labor angemeldet wurde,","Они сказали, что этот парень был последним регистрировались как в этой лаборатории,","Ze zeiden dat deze man voor het laatst geregistreerd als zijnde in dit lab,",ログにはこの人が最後にいたのはラボだってあるんだけどな。,他们说这家伙最后一次登录是在这个实验室，,"Eles disseram que esse cara último acesso foi como sendo neste laboratório,"
courtesyBot_01_speech_caption_03,"but I couldn’t get in, so I’ve just been waiting out here for...","Mais j'ai pas pu rentrer, donc j'ai juste attendu ...","pero no pude entrar, así que estuve esperando aquí afuera...","aber ich konnte nicht in, so habe ich gerade hier für die Warte aus ...","но я не мог войти, поэтому я просто переждать здесь ...","maar ik kon niet in, dus ik heb hier gewoon gewacht uit voor ...",中に入れなかったから、ずっとここで待ってたんだ。えっと……,但是我进不去，所以我就在外面等着…,"mas eu não podia entrar, então eu só estive esperando aqui fora para ..."
courtesyBot_01_speech_caption_04,oh. It’s been 450 days now. I suppose it’s a bit late for him to evac at this point.,"Oh, ça fait déjà 450 jours maintenant, Je suppose que c'est un peu tard pour qu'il évacue maintenant.",Oh. Han pasado 450 días. Supongo que es un poco tarde para que evacue en este punto.,"Oh. Es ist jetzt 450 Tage gewesen. Ich nehme an, es ist ein bisschen spät für ihn an dieser Stelle EVAC.","ой. Прошло 450 дней в настоящее время. Я предполагаю, что это немного поздно для него EVAC в этой точке.",Oh. Het is nu al 450 dagen. Ik denk dat het een beetje laat voor hem om evacuatie op dit punt.,もう450日も経ってる。今から避難するにはちょっと遅かったかな。,哦。已经450天了。我想他现在撤离有点晚了。,oh. Tem sido 450 dias agora. Acho que é um pouco tarde para ele evac neste momento.
courtesyBot_01_speech_caption_05,"Speaking of, uh, evacuation, why are you here?","En parlant de, euh, d'évacuation, pourquoi est-ce que t'es là?","Hablando de, eh, evacuación, ¿por qué estás aquí?","Apropos, äh, Evakuierung, warum bist du hier?","Говоря о, ээ, эвакуации, почему ты здесь?","Spreken van, uh, evacuatie, waarom ben je hier?",避難といえば、その、君は何故ここに？,说到撤离，你为什么在这里？,"Falando de, uh, evacuação, por que está aqui?"
courtesyBot_01_speech_caption_06,"Lower floors are a nightmare these days, way too dangerous for human workers.","Les étages inférieurs sont un enfer ces derniers temps, bien trop dangereux pour les travailleurs humains.","Los pisos inferiores son una pesadilla en estos días, demasiado peligrosos para los trabajadores humanos.","Unteren Etagen sind ein Alptraum in diesen Tagen, viel zu gefährlich für die menschliche Arbeiter.","Нижние этажи кошмар в эти дни, слишком опасно для человека рабочих.","Lagere verdiepingen zijn een nachtmerrie deze dagen, veel te gevaarlijk voor de menselijke werknemers.",下の階は恐ろしいことになってるし、人間の労働者には危険過ぎる。,低层简直就是噩梦，对人类工人来说太危险了。,"pisos inferiores são um pesadelo estes dias, muito perigoso para os trabalhadores humanos."
